league;season;team;game;date;time;round;day;venue;result;GF;GA;opponent;xG;xGA;Poss;Attendance;Captain;Formation;Opp Formation;Referee;match_report;Notes
;;;2021-10-30 Union Berlin-Bayern Munich;2021-10-30 00:00:00;15:30:00;Matchweek 10;Sat;Away;W;5;2;Union Berlin;3,2;0,9;60;16509;Manuel Neuer;4-2-3-1;3-5-2;Harm Osmers;/en/matches/ecd8a537/Union-Berlin-Bayern-Munich-October-30-2021-Bundesliga;
;;;2021-11-02 Bayern Munich-Benfica;2021-11-02 00:00:00;21:00:00;Group stage;Tue;Home;W;5;2;Benfica;4,8;1;65;50000;Manuel Neuer;4-2-3-1;3-4-3;Szymon Marciniak;/en/matches/08db1510/Bayern-Munich-Benfica-November-2-2021-Champions-League;
;;;2021-11-06 Bayern Munich-Freiburg;2021-11-06 00:00:00;15:30:00;Matchweek 11;Sat;Home;W;2;1;Freiburg;2,8;1;63;75000;Manuel Neuer;4-2-3-1;3-4-3;Sascha Stegemann;/en/matches/f0a8a2f0/Bayern-Munich-Freiburg-November-6-2021-Bundesliga;
;;;2021-11-19 Augsburg-Bayern Munich;2021-11-19 00:00:00;20:30:00;Matchweek 12;Fri;Away;L;1;2;Augsburg;1,2;0,4;78;26000;Manuel Neuer;4-2-3-1;4-4-2;Daniel Siebert;/en/matches/75a06726/Augsburg-Bayern-Munich-November-19-2021-Bundesliga;
;;;2021-11-23 Dynamo Kyiv-Bayern Munich;2021-11-23 00:00:00;19:45:00;Group stage;Tue;Away;W;2;1;Dynamo Kyiv;1;1,1;60;28732;Manuel Neuer;4-2-3-1;4-2-3-1;Halil Umut Meler;/en/matches/2459dc61/Dynamo-Kyiv-Bayern-Munich-November-23-2021-Champions-League;
;;;2021-11-27 Bayern Munich-Arminia;2021-11-27 00:00:00;18:30:00;Matchweek 13;Sat;Home;W;1;0;Arminia;2,2;0,3;73;12000;Manuel Neuer;4-2-3-1;4-3-3;Marco Fritz;/en/matches/0837adf5/Bayern-Munich-Arminia-November-27-2021-Bundesliga;
;;;2021-12-04 Dortmund-Bayern Munich;2021-12-04 00:00:00;18:30:00;Matchweek 14;Sat;Away;W;3;2;Dortmund;3,1;1,2;53;15000;Manuel Neuer;4-2-3-1;4-1-3-2;Felix Zwayer;/en/matches/e79b392a/Der-Klassiker-Dortmund-Bayern-Munich-December-4-2021-Bundesliga;
;;;2021-12-08 Bayern Munich-Barcelona;2021-12-08 00:00:00;21:00:00;Group stage;Wed;Home;W;3;0;Barcelona;2,4;0,4;52;;Manuel Neuer;4-2-3-1;4-3-3;Ovidiu Hațegan;/en/matches/0e70c674/Bayern-Munich-Barcelona-December-8-2021-Champions-League;
;;;2021-12-11 Bayern Munich-Mainz 05;2021-12-11 00:00:00;15:30:00;Matchweek 15;Sat;Home;W;2;1;Mainz 05;1,6;0,8;64;;Manuel Neuer;4-2-3-1;3-5-2;Benjamin Cortus;/en/matches/66f449cb/Bayern-Munich-Mainz-05-December-11-2021-Bundesliga;
;;;2021-12-14 Stuttgart-Bayern Munich;2021-12-14 00:00:00;18:30:00;Matchweek 16;Tue;Away;W;5;0;Stuttgart;3,5;1,2;56;750;Manuel Neuer;4-2-3-1;3-1-4-2;Robert Schröder;/en/matches/a34a4627/Stuttgart-Bayern-Munich-December-14-2021-Bundesliga;
;;;2021-12-17 Bayern Munich-Wolfsburg;2021-12-17 00:00:00;20:30:00;Matchweek 17;Fri;Home;W;4;0;Wolfsburg;3,6;1;63;;Manuel Neuer;4-2-3-1;3-4-3;Tobias Welz;/en/matches/b979c625/Bayern-Munich-Wolfsburg-December-17-2021-Bundesliga;
;;;2022-01-07 Bayern Munich-Gladbach;2022-01-07 00:00:00;20:30:00;Matchweek 18;Fri;Home;L;1;2;Gladbach;1,9;1;62;;Thomas Müller;4-2-3-1;3-1-4-2;Daniel Siebert;/en/matches/c57aed20/Bayern-Munich-Monchengladbach-January-7-2022-Bundesliga;
;;;2022-01-15 Köln-Bayern Munich;2022-01-15 00:00:00;15:30:00;Matchweek 19;Sat;Away;W;4;0;Köln;3,3;1;51;1000;Manuel Neuer;4-2-3-1;4-1-3-2;Tobias Welz;/en/matches/9628e665/Koln-Bayern-Munich-January-15-2022-Bundesliga;
;;;2022-01-23 Hertha BSC-Bayern Munich;2022-01-23 00:00:00;17:30:00;Matchweek 20;Sun;Away;W;4;1;Hertha BSC;5,5;0,9;70;3000;Manuel Neuer;3-2-4-1;5-3-2;Bastian Dankert;/en/matches/3f46e462/Hertha-BSC-Bayern-Munich-January-23-2022-Bundesliga;
;;;2022-02-05 Bayern Munich-RB Leipzig;2022-02-05 00:00:00;18:30:00;Matchweek 21;Sat;Home;W;3;2;RB Leipzig;3,1;2,1;58;10000;Manuel Neuer;3-4-3;3-4-3;Sven Jablonski;/en/matches/03e077d0/Bayern-Munich-RB-Leipzig-February-5-2022-Bundesliga;
;;;2022-02-12 Bochum-Bayern Munich;2022-02-12 00:00:00;15:30:00;Matchweek 22;Sat;Away;L;2;4;Bochum;1,9;1,4;64;10000;Thomas Müller;4-2-3-1;4-3-3;Robert Schröder;/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga;
;;;2022-02-16 RB Salzburg-Bayern Munich;2022-02-16 00:00:00;21:00:00;Round of 16;Wed;Away;D;1;1;RB Salzburg;2,3;1,1;71;29520;Thomas Müller;3-2-4-1;4-3-1-2;Michael Oliver;/en/matches/0d1bee90/Red-Bull-Salzburg-Bayern-Munich-February-16-2022-Champions-League;Leg 1 of 2
;;;2022-02-20 Bayern Munich-Greuther Fürth;2022-02-20 00:00:00;15:30:00;Matchweek 23;Sun;Home;W;4;1;Greuther Fürth;1,8;0,8;78;25000;Thomas Müller;4-2-3-1;4-1-2-1-2;Robert Hartmann;/en/matches/5ed7d173/Bayern-Munich-Greuther-Furth-February-20-2022-Bundesliga;
;;;2022-02-26 Eint Frankfurt-Bayern Munich;2022-02-26 00:00:00;18:30:00;Matchweek 24;Sat;Away;W;1;0;Eint Frankfurt;2,4;0,9;68;25000;Robert Lewandowski;3-4-3;3-4-3;Florian Badstübner;/en/matches/a94ebd93/Eintracht-Frankfurt-Bayern-Munich-February-26-2022-Bundesliga;
;;;2022-03-05 Bayern Munich-Leverkusen;2022-03-05 00:00:00;15:30:00;Matchweek 25;Sat;Home;D;1;1;Leverkusen;1,6;2,1;68;25000;Thomas Müller;4-2-3-1;3-4-3;Daniel Siebert;/en/matches/74b25680/Bayern-Munich-Bayer-Leverkusen-March-5-2022-Bundesliga;
;;;2022-03-08 Bayern Munich-RB Salzburg;2022-03-08 00:00:00;21:00:00;Round of 16;Tue;Home;W;7;1;RB Salzburg;4,2;0,7;72;25000;Manuel Neuer;3-2-4-1;4-3-1-2;Clément Turpin;/en/matches/ef9bb8e2/Bayern-Munich-Red-Bull-Salzburg-March-8-2022-Champions-League;"Leg 2 of 2; Bayern Munich won"
;;;2022-03-12 Hoffenheim-Bayern Munich;2022-03-12 00:00:00;15:30:00;Matchweek 26;Sat;Away;D;1;1;Hoffenheim;2,9;1,7;62;25600;Manuel Neuer;3-2-4-1;5-4-1;Robert Schröder;/en/matches/b04ef34a/Hoffenheim-Bayern-Munich-March-12-2022-Bundesliga;
;;;2022-03-19 Bayern Munich-Union Berlin;2022-03-19 00:00:00;18:30:00;Matchweek 27;Sat;Home;W;4;0;Union Berlin;2,7;1;70;37000;Manuel Neuer;4-1-4-1;3-5-2;Harm Osmers;/en/matches/8a7edc58/Bayern-Munich-Union-Berlin-March-19-2022-Bundesliga;
;;;2022-04-02 Freiburg-Bayern Munich;2022-04-02 00:00:00;15:30:00;Matchweek 28;Sat;Away;W;4;1;Freiburg;2,1;0,6;61;34700;Manuel Neuer;4-2-3-1;3-4-3;Christian Dingert;/en/matches/c49cc77e/Freiburg-Bayern-Munich-April-2-2022-Bundesliga;
;;;2022-04-06 Villarreal-Bayern Munich;2022-04-06 00:00:00;21:00:00;Quarter-finals;Wed;Away;L;0;1;Villarreal;1,6;1,5;61;21626;Manuel Neuer;4-2-3-1;4-4-2;Anthony Taylor;/en/matches/a3ffc004/Villarreal-Bayern-Munich-April-6-2022-Champions-League;Leg 1 of 2
;;;2022-04-09 Bayern Munich-Augsburg;2022-04-09 00:00:00;15:30:00;Matchweek 29;Sat;Home;W;1;0;Augsburg;1,5;0,2;67;75000;Manuel Neuer;4-2-3-1;4-4-2;Patrick Ittrich;/en/matches/32edb6b6/Bayern-Munich-Augsburg-April-9-2022-Bundesliga;
;;;2022-04-12 Bayern Munich-Villarreal;2022-04-12 00:00:00;21:00:00;Quarter-finals;Tue;Home;D;1;1;Villarreal;1,4;0,7;68;70000;Manuel Neuer;3-2-4-1;4-4-2;Slavko Vinčič;/en/matches/173ffe68/Bayern-Munich-Villarreal-April-12-2022-Champions-League;"Leg 2 of 2; Villarreal won"
;;;2022-04-17 Arminia-Bayern Munich;2022-04-17 00:00:00;15:30:00;Matchweek 30;Sun;Away;W;3;0;Arminia;2,7;0,4;75;26419;Manuel Neuer;3-4-3;4-2-3-1;Matthias Jöllenbeck;/en/matches/af8c9180/Arminia-Bayern-Munich-April-17-2022-Bundesliga;
;;;2022-04-23 Bayern Munich-Dortmund;2022-04-23 00:00:00;18:30:00;Matchweek 31;Sat;Home;W;3;1;Dortmund;1,7;1,3;58;75000;Manuel Neuer;4-2-3-1;4-2-3-1;Daniel Siebert;/en/matches/8c04e2e7/Der-Klassiker-Bayern-Munich-Dortmund-April-23-2022-Bundesliga;
;;;2022-04-30 Mainz 05-Bayern Munich;2022-04-30 00:00:00;15:30:00;Matchweek 32;Sat;Away;L;1;3;Mainz 05;1,4;3,3;68;33305;Robert Lewandowski;4-2-3-1;3-5-2;Sascha Stegemann;/en/matches/f81e9135/Mainz-05-Bayern-Munich-April-30-2022-Bundesliga;
;;;2022-05-08 Bayern Munich-Stuttgart;2022-05-08 00:00:00;17:30:00;Matchweek 33;Sun;Home;D;2;2;Stuttgart;2,6;1,5;75;75000;Manuel Neuer;4-2-3-1;3-4-3;Deniz Aytekin;/en/matches/f20efaaf/Bayern-Munich-Stuttgart-May-8-2022-Bundesliga;
;;;2022-05-14 Wolfsburg-Bayern Munich;2022-05-14 00:00:00;15:30:00;Matchweek 34;Sat;Away;D;2;2;Wolfsburg;2,1;1,5;67;30000;Manuel Neuer;3-2-4-1;4-4-2;Robert Hartmann;/en/matches/31d4f881/Wolfsburg-Bayern-Munich-May-14-2022-Bundesliga;
;;Bochum;2021-08-07 Wuppertaler-Bochum;2021-08-07 00:00:00;15:30:00;Round of 64;Sat;Away;W;2;1;Wuppertaler;;;70;4490;Anthony Losilla;4-2-3-1;5-3-2;Patrick Alt;/en/matches/79d57cb9/Wuppertaler-Bochum-August-7-2021-DFB-Pokal;Required Extra Time
;;;2021-08-14 Wolfsburg-Bochum;2021-08-14 00:00:00;15:30:00;Matchweek 1;Sat;Away;L;0;1;Wolfsburg;0,4;2;40;8536;Anthony Losilla;4-3-3;4-2-3-1;Frank Willenborg;/en/matches/d1f94768/Wolfsburg-Bochum-August-14-2021-Bundesliga;
;;;2021-08-21 Bochum-Mainz 05;2021-08-21 00:00:00;15:30:00;Matchweek 2;Sat;Home;W;2;0;Mainz 05;0,8;0,9;42;12548;Anthony Losilla;4-2-3-1;3-5-2;Patrick Ittrich;/en/matches/4a8a0dcd/Bochum-Mainz-05-August-21-2021-Bundesliga;
;;;2021-08-28 Köln-Bochum;2021-08-28 00:00:00;15:30:00;Matchweek 3;Sat;Away;L;1;2;Köln;0,6;3,2;30;25000;Anthony Losilla;4-3-3;4-1-3-2;Benjamin Cortus;/en/matches/d4f200bb/Koln-Bochum-August-28-2021-Bundesliga;
;;;2021-09-12 Bochum-Hertha BSC;2021-09-12 00:00:00;17:30:00;Matchweek 4;Sun;Home;L;1;3;Hertha BSC;1,2;0,3;66;14000;Anthony Losilla;4-2-3-1;3-4-3;Robert Schröder;/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga;
;;;2021-09-18 Bayern Munich-Bochum;2021-09-18 00:00:00;15:30:00;Matchweek 5;Sat;Away;L;0;7;Bayern Munich;0,4;5,6;31;25000;Anthony Losilla;4-2-3-1;4-2-3-1;Tobias Welz;/en/matches/bf42838a/Bayern-Munich-Bochum-September-18-2021-Bundesliga;
;;;2021-09-26 Bochum-Stuttgart;2021-09-26 00:00:00;15:30:00;Matchweek 6;Sun;Home;D;0;0;Stuttgart;0,8;0,3;44;15300;Anthony Losilla;4-2-3-1;4-1-4-1;Christian Dingert;/en/matches/c2d980b0/Bochum-Stuttgart-September-26-2021-Bundesliga;
;;;2021-10-02 RB Leipzig-Bochum;2021-10-02 00:00:00;18:30:00;Matchweek 7;Sat;Away;L;0;3;RB Leipzig;1,5;3,2;41;25598;Anthony Losilla;4-2-3-1;3-4-3;Robert Hartmann;/en/matches/db3c78fe/RB-Leipzig-Bochum-October-2-2021-Bundesliga;
;;;2021-10-16 Greuther Fürth-Bochum;2021-10-16 00:00:00;15:30:00;Matchweek 8;Sat;Away;W;1;0;Greuther Fürth;1,6;0,8;44;10586;Anthony Losilla;4-3-3;4-3-1-2;Bastian Dankert;/en/matches/ab41b4b4/Greuther-Furth-Bochum-October-16-2021-Bundesliga;
;;;2021-10-24 Bochum-Eint Frankfurt;2021-10-24 00:00:00;19:30:00;Matchweek 9;Sun;Home;W;2;0;Eint Frankfurt;2,1;1,6;41;19510;Anthony Losilla;4-3-3;3-4-1-2;Marco Fritz;/en/matches/978265c8/Bochum-Eintracht-Frankfurt-October-24-2021-Bundesliga;
;;;2021-10-27 Bochum-Augsburg;2021-10-27 00:00:00;18:30:00;Round of 32;Wed;Home;D;2 (5);2 (4);Augsburg;;;60;15220;Anthony Losilla;4-3-3;4-2-3-1;Martin Petersen;/en/matches/ca725f3f/Bochum-Augsburg-October-27-2021-DFB-Pokal;Bochum won on penalty kicks following extra time
;;;2021-10-31 Gladbach-Bochum;2021-10-31 00:00:00;17:30:00;Matchweek 10;Sun;Away;L;1;2;Gladbach;0,8;1,9;35;42361;Anthony Losilla;4-3-3;4-2-3-1;Tobias Reichel;/en/matches/1f2fb766/Monchengladbach-Bochum-October-31-2021-Bundesliga;
;;;2021-11-06 Bochum-Hoffenheim;2021-11-06 00:00:00;15:30:00;Matchweek 11;Sat;Home;W;2;0;Hoffenheim;2,9;0,6;38;19600;Anthony Losilla;4-3-3;3-1-4-2;Frank Willenborg;/en/matches/3cb8f0f6/Bochum-Hoffenheim-November-6-2021-Bundesliga;
;;;2021-11-20 Leverkusen-Bochum;2021-11-20 00:00:00;15:30:00;Matchweek 12;Sat;Away;L;0;1;Leverkusen;0,8;1,7;45;22538;Anthony Losilla;4-3-3;4-4-2;Daniel Schlager;/en/matches/983ef159/Bayer-Leverkusen-Bochum-November-20-2021-Bundesliga;
;;;2021-11-27 Bochum-Freiburg;2021-11-27 00:00:00;15:30:00;Matchweek 13;Sat;Home;W;2;1;Freiburg;1,1;2,2;41;19700;Anthony Losilla;4-3-3;4-4-1-1;Patrick Ittrich;/en/matches/9e87ef16/Bochum-Freiburg-November-27-2021-Bundesliga;
;;;2021-12-04 Augsburg-Bochum;2021-12-04 00:00:00;15:30:00;Matchweek 14;Sat;Away;W;3;2;Augsburg;2,1;2,9;48;;Anthony Losilla;4-3-3;4-4-2;Deniz Aytekin;/en/matches/67ad2f82/Augsburg-Bochum-December-4-2021-Bundesliga;
;;;2021-12-11 Bochum-Dortmund;2021-12-11 00:00:00;15:30:00;Matchweek 15;Sat;Home;D;1;1;Dortmund;0,9;2,3;33;13799;Anthony Losilla;4-1-4-1;4-2-3-1;Matthias Jöllenbeck;/en/matches/f8b45c28/Bochum-Dortmund-December-11-2021-Bundesliga;
;;;2021-12-14 Arminia-Bochum;2021-12-14 00:00:00;20:30:00;Matchweek 16;Tue;Away;L;0;2;Arminia;0,9;0,7;49;13750;Anthony Losilla;4-1-4-1;4-1-2-1-2;Benjamin Brand;/en/matches/669776d4/Arminia-Bochum-December-14-2021-Bundesliga;
;;;2021-12-18 Bochum-Union Berlin;2021-12-18 00:00:00;15:30:00;Matchweek 17;Sat;Home;L;0;1;Union Berlin;1,1;0,8;55;13500;Anthony Losilla;4-3-3;3-4-1-2;Tobias Reichel;/en/matches/1bbd187c/Bochum-Union-Berlin-December-18-2021-Bundesliga;
;;;2022-01-09 Bochum-Wolfsburg;2022-01-09 00:00:00;17:30:00;Matchweek 18;Sun;Home;W;1;0;Wolfsburg;0,9;0,4;50;;Anthony Losilla;4-3-3;3-4-3;Daniel Schlager;/en/matches/864b04fa/Bochum-Wolfsburg-January-9-2022-Bundesliga;
;;;2022-01-15 Mainz 05-Bochum;2022-01-15 00:00:00;15:30:00;Matchweek 19;Sat;Away;L;0;1;Mainz 05;1,5;1,7;47;1000;Anthony Losilla;4-3-3;3-5-2;Frank Willenborg;/en/matches/a7250685/Mainz-05-Bochum-January-15-2022-Bundesliga;
;;;2022-01-18 Bochum-Mainz 05;2022-01-18 00:00:00;20:45:00;Round of 16;Tue;Home;W;3;1;Mainz 05;;;57;750;Anthony Losilla;4-3-3;3-5-2;Felix Brych;/en/matches/3ccf5dd2/Bochum-Mainz-05-January-18-2022-DFB-Pokal;
;;;2022-01-22 Bochum-Köln;2022-01-22 00:00:00;18:30:00;Matchweek 20;Sat;Home;D;2;2;Köln;1,8;1,1;54;750;Anthony Losilla;4-3-3;4-1-3-2;Matthias Jöllenbeck;/en/matches/01da71d0/Bochum-Koln-January-22-2022-Bundesliga;
;;;2022-02-04 Hertha BSC-Bochum;2022-02-04 00:00:00;20:30:00;Matchweek 21;Fri;Away;D;1;1;Hertha BSC;1,1;0,4;48;3000;Manuel Riemann;4-1-4-1;4-4-2;Marco Fritz;/en/matches/656c2420/Hertha-BSC-Bochum-February-4-2022-Bundesliga;
;;;2022-02-12 Bochum-Bayern Munich;2022-02-12 00:00:00;15:30:00;Matchweek 22;Sat;Home;W;4;2;Bayern Munich;1,4;1,9;36;10000;Anthony Losilla;4-3-3;4-2-3-1;Robert Schröder;/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga;
;;;2022-02-19 Stuttgart-Bochum;2022-02-19 00:00:00;15:30:00;Matchweek 23;Sat;Away;D;1;1;Stuttgart;2;1,2;45;20059;Anthony Losilla;4-3-3;4-3-3;Harm Osmers;/en/matches/6f5e82da/Stuttgart-Bochum-February-19-2022-Bundesliga;
;;;2022-02-27 Bochum-RB Leipzig;2022-02-27 00:00:00;15:30:00;Matchweek 24;Sun;Home;L;0;1;RB Leipzig;0,8;0,7;51;10000;Anthony Losilla;4-3-3;3-4-1-2;Felix Brych;/en/matches/f60aa0c6/Bochum-RB-Leipzig-February-27-2022-Bundesliga;
;;;2022-03-02 Bochum-Freiburg;2022-03-02 00:00:00;20:45:00;Quarter-finals;Wed;Home;L;1;2;Freiburg;;;53;10000;Anthony Losilla;4-1-4-1;4-2-3-1;Robert Schröder;/en/matches/8167b3ac/Bochum-Freiburg-March-2-2022-DFB-Pokal;Required Extra Time
;;;2022-03-05 Bochum-Greuther Fürth;2022-03-05 00:00:00;15:30:00;Matchweek 25;Sat;Home;W;2;1;Greuther Fürth;1,6;0,7;45;19800;Anthony Losilla;4-3-3;4-1-2-1-2;Daniel Schlager;/en/matches/c1a124b2/Bochum-Greuther-Furth-March-5-2022-Bundesliga;
;;;2022-03-13 Eint Frankfurt-Bochum;2022-03-13 00:00:00;17:30:00;Matchweek 26;Sun;Away;L;1;2;Eint Frankfurt;1,1;1,8;47;24000;Anthony Losilla;4-1-4-1;3-4-3;Marco Fritz;/en/matches/d36290e1/Eintracht-Frankfurt-Bochum-March-13-2022-Bundesliga;
;;;2022-03-18 Bochum-Gladbach;2022-03-18 00:00:00;20:30:00;Matchweek 27;Fri;Home;L;0;2;Gladbach;;;51;;Anthony Losilla;4-3-3;3-4-3;Benjamin Cortus;/en/matches/c34bbc21/Bochum-Monchengladbach-March-18-2022-Bundesliga;Match awarded to Gladbach
;;;2022-04-02 Hoffenheim-Bochum;2022-04-02 00:00:00;15:30:00;Matchweek 28;Sat;Away;W;2;1;Hoffenheim;2,1;2;42;15014;Anthony Losilla;4-2-3-1;3-4-1-2;Daniel Siebert;/en/matches/3d271a87/Hoffenheim-Bochum-April-2-2022-Bundesliga;
;;;2022-04-10 Bochum-Leverkusen;2022-04-10 00:00:00;15:30:00;Matchweek 29;Sun;Home;D;0;0;Leverkusen;0,7;1,4;41;25000;Anthony Losilla;4-2-3-1;4-2-3-1;Felix Zwayer;/en/matches/25412678/Bochum-Bayer-Leverkusen-April-10-2022-Bundesliga;
;;;2022-04-16 Freiburg-Bochum;2022-04-16 00:00:00;15:30:00;Matchweek 30;Sat;Away;L;0;3;Freiburg;0,4;2,2;38;34000;Anthony Losilla;4-3-3;4-2-3-1;Sascha Stegemann;/en/matches/d568b6dd/Freiburg-Bochum-April-16-2022-Bundesliga;
;;;2022-04-24 Bochum-Augsburg;2022-04-24 00:00:00;15:30:00;Matchweek 31;Sun;Home;L;0;2;Augsburg;1,1;1,9;59;23500;Anthony Losilla;4-3-3;3-4-3;Bastian Dankert;/en/matches/29085f79/Bochum-Augsburg-April-24-2022-Bundesliga;
;;;2022-04-30 Dortmund-Bochum;2022-04-30 00:00:00;15:30:00;Matchweek 32;Sat;Away;W;4;3;Dortmund;1,6;4;31;81365;Anthony Losilla;4-3-3;4-2-3-1;Robert Hartmann;/en/matches/257ad808/Dortmund-Bochum-April-30-2022-Bundesliga;
;;;2022-05-06 Bochum-Arminia;2022-05-06 00:00:00;20:30:00;Matchweek 33;Fri;Home;W;2;1;Arminia;2,1;0,8;60;25000;Anthony Losilla;4-3-3;4-4-2;Robert Schröder;/en/matches/73983b19/Bochum-Arminia-May-6-2022-Bundesliga;
;;;2022-05-14 Union Berlin-Bochum;2022-05-14 00:00:00;15:30:00;Matchweek 34;Sat;Away;L;2;3;Union Berlin;0,2;2,6;57;22012;Anthony Losilla;3-4-1-2;3-5-2;Marco Fritz;/en/matches/c8cef118/Union-Berlin-Bochum-May-14-2022-Bundesliga;
;;Dortmund;2021-08-07 Wehen-Dortmund;2021-08-07 00:00:00;20:45:00;Round of 64;Sat;Away;W;3;0;Wehen;;;64;4882;Marco Reus;4-4-2◆;3-4-1-2;Benjamin Cortus;/en/matches/27cbe6ba/Wehen-Wiesbaden-Dortmund-August-7-2021-DFB-Pokal;
;;;2021-08-14 Dortmund-Eint Frankfurt;2021-08-14 00:00:00;18:30:00;Matchweek 1;Sat;Home;W;5;2;Eint Frankfurt;2,7;1,3;60;25000;Marco Reus;4-2-3-1;3-4-3;Tobias Stieler;/en/matches/40d5c11f/Dortmund-Eintracht-Frankfurt-August-14-2021-Bundesliga;
;;;2021-08-17 Dortmund-Bayern Munich;2021-08-17 00:00:00;20:30:00;DFL-Supercup;Tue;Home;L;1;3;Bayern Munich;;;49;;Marco Reus;4-3-3;4-2-3-1;Sascha Stegemann;/en/matches/a15704aa/Der-Klassiker-Dortmund-Bayern-Munich-August-17-2021-DFL-Supercup;
;;;2021-08-21 Freiburg-Dortmund;2021-08-21 00:00:00;15:30:00;Matchweek 2;Sat;Away;L;1;2;Freiburg;1,6;1,3;76;10100;Marco Reus;4-1-2-1-2◆;4-4-2;Robert Schröder;/en/matches/98aa6a98/Freiburg-Dortmund-August-21-2021-Bundesliga;
;;;2021-08-27 Dortmund-Hoffenheim;2021-08-27 00:00:00;20:30:00;Matchweek 3;Fri;Home;W;3;2;Hoffenheim;3,4;2,2;59;25000;Marco Reus;4-1-2-1-2◆;4-2-3-1;Felix Zwayer;/en/matches/1d990b1a/Dortmund-Hoffenheim-August-27-2021-Bundesliga;
;;;2021-09-11 Leverkusen-Dortmund;2021-09-11 00:00:00;15:30:00;Matchweek 4;Sat;Away;W;4;3;Leverkusen;1,8;0,7;58;17605;Marco Reus;4-3-2-1;4-2-3-1;Daniel Siebert;/en/matches/983b35eb/Bayer-Leverkusen-Dortmund-September-11-2021-Bundesliga;
;;;2021-09-15 Beşiktaş-Dortmund;2021-09-15 00:00:00;19:45:00;Group stage;Wed;Away;W;2;1;Beşiktaş;3;1,2;43;22445;Marco Reus;4-2-3-1;4-1-4-1;Antonio Matéu Lahoz;/en/matches/7252c1e3/Besiktas-Dortmund-September-15-2021-Champions-League;
;;;2021-09-19 Dortmund-Union Berlin;2021-09-19 00:00:00;17:30:00;Matchweek 5;Sun;Home;W;4;2;Union Berlin;0,9;1,6;63;25000;Marco Reus;4-3-3;3-4-1-2;Sven Jablonski;/en/matches/3fe1eafa/Dortmund-Union-Berlin-September-19-2021-Bundesliga;
;;;2021-09-25 Gladbach-Dortmund;2021-09-25 00:00:00;18:30:00;Matchweek 6;Sat;Away;L;0;1;Gladbach;0,4;1,6;45;25000;Mats Hummels;3-5-2;3-4-3;Deniz Aytekin;/en/matches/b871a58d/Monchengladbach-Dortmund-September-25-2021-Bundesliga;
;;;2021-09-28 Dortmund-Sporting CP;2021-09-28 00:00:00;21:00:00;Group stage;Tue;Home;W;1;0;Sporting CP;0,3;0,4;58;25000;Marco Reus;4-2-3-1;3-4-3;Srdjan Stojanovic;/en/matches/989cec97/Dortmund-Sporting-CP-September-28-2021-Champions-League;
;;;2021-10-02 Dortmund-Augsburg;2021-10-02 00:00:00;15:30:00;Matchweek 7;Sat;Home;W;2;1;Augsburg;3;0,8;69;41000;Marco Reus;4-2-3-1;3-4-1-2;Tobias Welz;/en/matches/71a3be9a/Dortmund-Augsburg-October-2-2021-Bundesliga;
;;;2021-10-16 Dortmund-Mainz 05;2021-10-16 00:00:00;15:30:00;Matchweek 8;Sat;Home;W;3;1;Mainz 05;2,3;0,8;67;63812;Marco Reus;4-3-3;3-4-1-2;Daniel Schlager;/en/matches/f9cb2f43/Dortmund-Mainz-05-October-16-2021-Bundesliga;
;;;2021-10-19 Ajax-Dortmund;2021-10-19 00:00:00;21:00:00;Group stage;Tue;Away;L;0;4;Ajax;1,2;2,1;45;54029;Marco Reus;4-3-3;4-2-3-1;Jesús Gil;/en/matches/e26bd95d/Ajax-Dortmund-October-19-2021-Champions-League;
;;;2021-10-23 Arminia-Dortmund;2021-10-23 00:00:00;15:30:00;Matchweek 9;Sat;Away;W;3;1;Arminia;2,4;1,4;69;25000;Marco Reus;3-4-3;3-4-1-2;Benjamin Brand;/en/matches/d024165b/Arminia-Dortmund-October-23-2021-Bundesliga;
;;;2021-10-26 Dortmund-Ingolstadt 04;2021-10-26 00:00:00;20:00:00;Round of 32;Tue;Home;W;2;0;Ingolstadt 04;;;83;28000;Mats Hummels;3-4-3;5-4-1;Matthias Jöllenbeck;/en/matches/eb359d8e/Dortmund-Ingolstadt-04-October-26-2021-DFB-Pokal;
;;;2021-10-30 Dortmund-Köln;2021-10-30 00:00:00;15:30:00;Matchweek 10;Sat;Home;W;2;0;Köln;1,4;1,3;42;66709;Marco Reus;3-4-3;4-1-3-2;Martin Petersen;/en/matches/317a96ac/Dortmund-Koln-October-30-2021-Bundesliga;
;;;2021-11-03 Dortmund-Ajax;2021-11-03 00:00:00;21:00:00;Group stage;Wed;Home;L;1;3;Ajax;1,7;2;31;54820;Marco Reus;4-3-3;4-2-3-1;Michael Oliver;/en/matches/a4217efc/Dortmund-Ajax-November-3-2021-Champions-League;
;;;2021-11-06 RB Leipzig-Dortmund;2021-11-06 00:00:00;18:30:00;Matchweek 11;Sat;Away;L;1;2;RB Leipzig;0,9;2,6;46;43429;Marco Reus;3-4-3;3-4-3;Felix Zwayer;/en/matches/a599df7c/RB-Leipzig-Dortmund-November-6-2021-Bundesliga;
